Placa,Apelido,Data,Hora,Velocidade,Alimentação,Ignição,Bloqueio,Motoristas,Endereço,Latitude,Longitude
SIS9H08,,18/12/2023,18:06:33,0,"12,89",Não,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,18:36:36,0,"12,86",Não,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:06:39,0,"12,83",Não,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:28:31,0,"12,22",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:28:46,0,"12,25",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:30:29,0,"13,31",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:32:17,0,"13,89",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:32:29,0,"13,83",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:34:29,0,"13,83",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:36:29,0,"13,95",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2737, Tarumã, Curitiba, Paraná, Brasil","-25,430078","-49,213471"
SIS9H08,,18/12/2023,19:37:38,7,"13,95",Sim,Não,,"Avenida Victor Ferreira do Amaral, 2447, Tarumã, Curitiba, Paraná, Brasil","-25,429883","-49,215354"
SIS9H08,,18/12/2023,19:38:34,50,"13,83",Sim,Não,,"Tarumã, Curitiba, Paraná, Brasil","-25,429021","-49,223366"
SIS9H08,,18/12/2023,19:39:30,12,"13,89",Sim,Não,,"Avenida Victor Ferreira do Amaral, 1039, Tarumã, Curitiba, Paraná, Brasil","-25,428324","-49,229747"
SIS9H08,,18/12/2023,19:39:35,25,"13,86",Sim,Não,,"Avenida Afonso Pena, 551, Tarumã, Curitiba, Paraná, 82530-280, Brasil","-25,42808","-49,229683"
SIS9H08,,18/12/2023,19:40:24,18,"13,62",Sim,Não,,"Rua Bandeirantes Dias Cortes, 389, Tarumã, Curitiba, Paraná, 82530-120, Brasil","-25,424412","-49,228007"
SIS9H08,,18/12/2023,19:40:30,33,"13,86",Sim,Não,,"Rua Bandeirantes Dias Cortes, 465, Tarumã, Curitiba, Paraná, 82530-120, Brasil","-25,424519","-49,227641"
SIS9H08,,18/12/2023,19:40:52,10,"13,83",Sim,Não,,"Tarumã, Curitiba, Paraná, Brasil","-25,424756","-49,227102"
SIS9H08,,18/12/2023,19:41:00,22,"13,8",Sim,Não,,"Tarumã, Curitiba, Paraná, Brasil","-25,425071","-49,227089"
SIS9H08,,18/12/2023,19:42:00,55,"13,86",Sim,Não,,"Tarumã, Curitiba, Paraná, Brasil","-25,432351","-49,230667"
SIS9H08,,18/12/2023,19:42:35,51,"13,83",Sim,Não,,"Rodovia Régis Bittencourt, Tarumã, Curitiba, Paraná, Brasil","-25,435851","-49,234051"
SIS9H08,,18/12/2023,19:44:17,63,"13,86",Sim,Não,,"Rodovia Régis Bittencourt, Jardim Botânico, Curitiba, Paraná, Brasil","-25,451052","-49,237604"
SIS9H08,,18/12/2023,19:46:16,12,"13,89",Sim,Não,,"Rodovia Régis Bittencourt, Prado Velho, Curitiba, Paraná, Brasil","-25,458823","-49,250052"
SIS9H08,,18/12/2023,19:48:16,0,"13,89",Sim,Não,,"Prado Velho, Curitiba, Paraná, Brasil","-25,467181","-49,253057"
SIS9H08,,18/12/2023,19:50:16,0,"13,83",Sim,Não,,"Rodovia Régis Bittencourt, 12834, Fanny, Curitiba, Paraná, Brasil","-25,473423","-49,25776"
SIS9H08,,18/12/2023,19:52:16,23,"13,86",Sim,Não,,"Rodovia Régis Bittencourt, Fanny, Curitiba, Paraná, Brasil","-25,483344","-49,265405"
